CustomerName,TotalSales,SalesRank,SalesDenseRank
Tom Ashbrook,40488.0708,1,1
Tamara Chand,37457.333,2,2
Greg Tran,35550.95428,3,3
Christopher Conant,35187.0764,4,4
Sean Miller,35170.93296,5,5
Bart Watters,32310.446500000002,6,6
Natalie Fritzler,31781.2585,7,7
Fred Hopkins,30400.67452,8,8
Jane Waco,30288.4503,9,9
Hunter Lopez,30243.56658,10,10
Sanjit Engle,30146.335020000002,11,11
Penelope Sewall,30081.6754,12,12
Peter Fuller,29875.99966,13,13
Muhammed Yedwab,29642.66118,14,14
Raymond Buch,29602.1426,15,15
Susan Pistek,29020.60386,16,16
Zuschuss Carroll,28479.99226,17,17
Bill Eplett,28479.1674,18,18
Harry Marie,28476.9376,19,19
Art Ferguson,28187.3405,20,20
